year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Slovenia,Zan KRANJEC,SILVER,https://olympics.com/en/athletes/zan-kranjec
2022,Switzerland,Lara GUT - BEHRAMI,BRONZE,https://olympics.com/en/athletes/lara-gut
2022,Italy,Federica BRIGNONE,SILVER,https://olympics.com/en/athletes/federica-brignone
2022,Sweden,Sara HECTOR,GOLD,https://olympics.com/en/athletes/sara-hector
2022,Italy,Federica BRIGNONE,BRONZE,https://olympics.com/en/athletes/federica-brignone
2022,Switzerland,Michelle GISIN,GOLD,https://olympics.com/en/athletes/michelle-gisin
2022,Switzerland,Wendy HOLDENER,SILVER,https://olympics.com/en/athletes/wendy-holdener
2022,Slovakia,Petra VLHOVA,GOLD,https://olympics.com/en/athletes/petra-vlhova
2022,Switzerland,Wendy HOLDENER,BRONZE,https://olympics.com/en/athletes/wendy-holdener
2022,Austria,Katharina LIENSBERGER,SILVER,https://olympics.com/en/athletes/liensberger
2022,Netherlands,Kimberley BOS,BRONZE,https://olympics.com/en/athletes/kimberley-bos
2022,Germany,Hannah NEISE,GOLD,https://olympics.com/en/athletes/hannah-neise
2022,Australia,Jackie NARRACOTT,SILVER,https://olympics.com/en/athletes/jackie-narracott
2022,People's Republic of China,Wengang YAN,BRONZE,https://olympics.com/en/athletes/wengang-yan
2022,Germany,Christopher GROTHEER,GOLD,https://olympics.com/en/athletes/christopher-grotheer
2022,Germany,Axel JUNGK,SILVER,https://olympics.com/en/athletes/axel-jungk
2022,Sweden,Maja DAHLQVIST,SILVER,https://olympics.com/en/athletes/maja-dahlqvist
2022,United States of America,Jessica DIGGINS,BRONZE,https://olympics.com/en/athletes/jessica-diggins
2022,Sweden,Jonna SUNDLING,GOLD,https://olympics.com/en/athletes/jonna-sundling
2022,Sweden,Maja DAHLQVIST,SILVER,https://olympics.com/en/athletes/maja-dahlqvist
2022,Sweden,Jonna SUNDLING,SILVER,https://olympics.com/en/athletes/jonna-sundling
2022,ROC,Yulia STUPAK,BRONZE,https://olympics.com/en/athletes/belorukova
2022,ROC,Natalia NEPRYAEVA,BRONZE,https://olympics.com/en/athletes/nepryaeva
2022,Norway,Erik VALNES,GOLD,https://olympics.com/en/athletes/erik-valnes
2022,Norway,Johannes Hoesflot KLAEBO,GOLD,https://olympics.com/en/athletes/klaebo
2022,Finland,Iivo NISKANEN,SILVER,https://olympics.com/en/athletes/iivo-niskanen
2022,Finland,Joni MAEKI,SILVER,https://olympics.com/en/athletes/joni-maeki
2022,ROC,Alexander BOLSHUNOV,BRONZE,https://olympics.com/en/athletes/bolshunov
2022,ROC,Alexander TERENTEV,BRONZE,https://olympics.com/en/athletes/alexander-terentev
2022,Finland,Iivo NISKANEN,BRONZE,https://olympics.com/en/athletes/iivo-niskanen
2022,ROC,Denis SPITSOV,SILVER,https://olympics.com/en/athletes/denis-spitsov
2022,ROC,Alexander BOLSHUNOV,GOLD,https://olympics.com/en/athletes/bolshunov
2022,Norway,Therese JOHAUG,GOLD,https://olympics.com/en/athletes/therese-johaug
